日時,レース名,グレード,距離,種別,着順,馬名,性別,騎手,調教師
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,1,トリオンフ,せ,M.デムーロ,須貝尚介
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,2,ウインイクシード,牡,松岡正海,鈴木伸尋
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,3,テリトーリアル,牡,藤岡康太,西浦勝一
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,4,ノーブルマーズ,牡,F.ミナリク,宮本博
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,5,マイネルハニー,牡,横山武史,栗田徹
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,6,マイネルサーパス,牡,丹内祐次,高木登
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,7,クレッシェンドラヴ,牡,内田博幸,林徹
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,8,ザダル,牡,O.マーフィー,大竹正博
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,9,アンノートル,牡,柴田大知,田中博康
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,10,ギベオン,牡,S.フォーリー,藤原英昭
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,11,カデナ,牡,鮫島克駿,中竹和也
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,12,シャイニープリンス,牡,勝浦正樹,深山雅史
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,13,メイショウエイコウ,牡,大野拓弥,荒川義之
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,14,レッドローゼス,牡,田辺裕信,国枝栄
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,15,タニノフランケル,牡,石橋脩,角居勝彦
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,16,ブラックスピネル,牡,津村明秀,音無秀孝
2020/1/5/,日刊スポーツ賞中山金杯,GⅢ,"2,000",芝,17,イレイション,牡,北村宏司,池上昌和
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,1,サウンドキアラ,牝,松山弘平,安達昭夫
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,2,ダイアトニック,牡,北村友一,安田隆行
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,3,ボンセルヴィーソ,牡,太宰啓介,池添学
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,4,ソーグリッタリング,牡,川田将雅,池江泰寿
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,5,ブレステイキング,牡,藤岡佑介,堀宣行
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,6,エメラルファイト,牡,石川裕紀人,相沢郁
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,7,ドーヴァー,牡,福永祐一,伊藤圭三
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,7,エントシャイデン,牡,坂井瑠星,矢作芳人
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,9,オールフォーラヴ,牝,和田竜二,中内田充正
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,10,メイケイダイハード,牡,柴山雄一,中竹和也
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,11,モズダディー,牡,酒井学,藤岡健一
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,12,ストロングタイタン,牡,幸英明,池江泰寿
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,13,タイムトリップ,牡,岩田康誠,菊川正達
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,14,マルターズアポジー,牡,松若風馬,堀井雅広
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,15,マイネルフラップ,牡,国分優作,梅田智之
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,16,メイショウショウブ,牝,池添謙一,池添兼雄
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,17,カテドラル,牡,武豊,池添学
2020/1/5/,スポーツニッポン賞京都金杯,GⅢ,"1,600",芝,18,ハッピーグリン,牡,吉田隼人,長谷川浩大
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,1,サンクテュエール,牝,C.ルメール,藤沢和雄
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,2,プリンスリターン,牡,原田和真,加用正
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,3,コルテジア,牡,松山弘平,鈴木孝志
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,4,オーマイダーリン,牝,武豊,河内洋
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,5,ヴァルナ,牡,福永祐一,寺島良
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,6,タガノビューティー,牡,和田竜二,西園正都
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,7,ルーツドール,牝,川田将雅,藤岡健一
2020/1/12/,日刊スポーツ賞シンザン記念,GⅢ,"1,600",芝,8,ヒシタイザン,牡,幸英明,角田晃一
